,FPGA_metrics,FPGA throughput metrics
fold_input[ms],0.07200241088867188,0.055789947509765625
pack_input[ms],166410.61663627625,0.04410743713378906
copy_input_data_to_device[ms],0.45752525329589844,0.4146099090576172
copy_output_data_from_device[ms],0.40435791015625,0.19860267639160156
unpack_output[ms],0.40435791015625,7585.526704788208
unfold_output[ms],0.40435791015625,0.05626678466796875
runtime[ms],5.935907363891602,5.931377410888672
throughput[images/s],168.46624091255975,168.59490312726103
DRAM_in_bandwidth[MB/s],,25.37825357794035
DRAM_out_bandwidth[MB/s],,33.837671437253796
fclk[mhz],,99.999
batch_size,,1.0
